Date,Close,signals,close_position
1/27/2016,1.086496,,
1/28/2016,1.090798,,
1/29/2016,1.093697,,
2/1/2016,1.082591,,
2/2/2016,1.089728,,
2/3/2016,1.092204,,
2/4/2016,1.109102,,
2/5/2016,1.119996,,
2/8/2016,1.114504,,
2/9/2016,1.118981,,
2/10/2016,1.128999,,
2/11/2016,1.128095,,
2/12/2016,1.131798,,
2/15/2016,1.122599,,
2/16/2016,1.117406,,
2/17/2016,1.114703,,
2/18/2016,1.112298,,
2/19/2016,1.111099,,
2/22/2016,1.112397,,
2/23/2016,1.102803,,
2/24/2016,1.102706,,
2/25/2016,1.101394,,
2/26/2016,1.102499,,
2/29/2016,1.092395,,
3/1/2016,1.088898,,
3/2/2016,1.087595,,
3/3/2016,1.086897,,
3/4/2016,1.094895,,
3/7/2016,1.099396,,
3/8/2016,1.101601,,
3/9/2016,1.100401,,
3/10/2016,1.098901,,
3/11/2016,1.117843,,
3/14/2016,1.116794,,
3/15/2016,1.110198,,
3/16/2016,1.110901,,
3/17/2016,1.121894,,
3/18/2016,1.131798,,
3/21/2016,1.127904,,
3/22/2016,1.123595,,
3/23/2016,1.122297,,
3/24/2016,1.118105,,
3/25/2016,1.116794,,
3/28/2016,1.115997,,
3/29/2016,1.120272,,
3/30/2016,1.129203,,
3/31/2016,1.133466,,
4/1/2016,1.137967,,
4/4/2016,1.139004,,
4/5/2016,1.1389,,
4/6/2016,1.1382,,
4/7/2016,1.140498,,
4/8/2016,1.137398,,
4/11/2016,1.140303,,
4/12/2016,1.141292,,
4/13/2016,1.138498,,
4/14/2016,1.127904,,
4/15/2016,1.127002,,
4/18/2016,1.129995,,
4/19/2016,1.130902,,
4/20/2016,1.135963,,
4/21/2016,1.130506,,
4/22/2016,1.129203,,
4/25/2016,1.123406,,
4/26/2016,1.1269,,
4/27/2016,1.129905,,
4/28/2016,1.132901,,
4/29/2016,1.135589,,
5/2/2016,1.146303,,
5/3/2016,1.152499,,
5/4/2016,1.150404,,
5/5/2016,1.149306,,
5/6/2016,1.140602,,
5/9/2016,1.138797,,
5/10/2016,1.138797,,
5/11/2016,1.137436,,
5/12/2016,1.1427,,
5/13/2016,1.137695,,
5/16/2016,1.131695,,
5/17/2016,1.131606,,
5/18/2016,1.131606,,
5/19/2016,1.122297,,
5/20/2016,1.120599,,
5/23/2016,1.122171,,
5/24/2016,1.121604,,
5/25/2016,1.113797,,
5/26/2016,1.115897,,
5/27/2016,1.119207,,
5/30/2016,1.111,,
5/31/2016,1.11484,,
6/1/2016,1.113598,,
6/2/2016,1.118906,,
6/3/2016,1.1152,,
6/6/2016,1.1351,,
6/7/2016,1.136402,,
6/8/2016,1.135783,,
6/9/2016,1.140706,,
6/10/2016,1.131503,,
6/13/2016,1.124,,
6/14/2016,1.129102,,
6/15/2016,1.121302,,
6/16/2016,1.126266,,
6/17/2016,1.125201,,
6/20/2016,1.134906,,
6/21/2016,1.132298,,
6/22/2016,1.125062,,
6/23/2016,1.132824,,
6/24/2016,1.1324,,
6/27/2016,1.103594,,
6/28/2016,1.101503,,
6/29/2016,1.107395,,
6/30/2016,1.112805,,
7/1/2016,1.110605,,
7/4/2016,1.113102,,
7/5/2016,1.114604,,
7/6/2016,1.106501,,
7/7/2016,1.109903,,
7/8/2016,1.106574,,
7/11/2016,1.104399,,
7/12/2016,1.105803,,
7/13/2016,1.106293,,
7/14/2016,1.109496,,
7/15/2016,1.110605,,
7/18/2016,1.105314,,
7/19/2016,1.107187,,
7/20/2016,1.101358,,
7/21/2016,1.101953,,
7/22/2016,1.10329,,
7/25/2016,1.097045,,
7/26/2016,1.099118,,
7/27/2016,1.09878,,
7/28/2016,1.107346,,
7/29/2016,1.108438,,
8/1/2016,1.116807,,
8/2/2016,1.116807,,
8/3/2016,1.121906,,
8/4/2016,1.11515,,
8/5/2016,1.113474,,
8/8/2016,1.108955,,
8/9/2016,1.108365,,
8/10/2016,1.11158,,
8/11/2016,1.118643,,
8/12/2016,1.113908,,
8/15/2016,1.116695,,
8/16/2016,1.118406,,
8/17/2016,1.127599,,
8/18/2016,1.129892,,
8/19/2016,1.134945,,
8/22/2016,1.129816,,
8/23/2016,1.131926,,
