Date,Open,High,Low,Close,Adj Close,Volume
2015-10-19,1.571550,1.577400,1.565000,1.571200,1.571200,0
2015-10-20,1.573680,1.582000,1.571000,1.573300,1.573300,0
2015-10-21,1.579100,1.584000,1.577400,1.579260,1.579260,0
2015-10-22,1.580700,1.582390,1.552200,1.580710,1.580710,0
2015-10-23,1.545270,1.546660,1.536000,1.544900,1.544900,0
2015-10-26,1.538920,1.542610,1.532000,1.538700,1.538700,0
2015-10-27,1.539000,1.543060,1.536000,1.539430,1.539430,0
2015-10-28,1.540860,1.545970,1.539000,1.540800,1.540800,0
2015-10-29,1.531690,1.541400,1.529200,1.531920,1.531920,0
2015-10-30,1.541260,1.549700,1.535850,1.541880,1.541880,0
2015-11-02,1.543330,1.548420,1.541400,1.543400,1.543400,0
2015-11-03,1.540340,1.540940,1.530000,1.539900,1.539900,0
2015-11-04,1.529930,1.530550,1.522000,1.530160,1.530160,0
2015-11-05,1.524340,1.531010,1.522000,1.524600,1.524600,0
2015-11-06,1.530750,1.533800,1.519640,1.530650,1.530650,0
2015-11-09,1.524700,1.536280,1.524000,1.525260,1.525260,0
2015-11-10,1.530280,1.530440,1.518000,1.529850,1.529850,0
2015-11-11,1.525620,1.529030,1.522000,1.525200,1.525200,0
2015-11-12,1.526930,1.532600,1.518000,1.526500,1.526500,0
2015-11-13,1.532330,1.534320,1.525500,1.532900,1.532900,0
2015-11-16,1.524690,1.529140,1.521000,1.524650,1.524650,0
2015-11-17,1.519910,1.519910,1.513000,1.519900,1.519900,0
2015-11-18,1.515600,1.521690,1.514600,1.515890,1.515890,0
2015-11-19,1.515500,1.519370,1.510000,1.515300,1.515300,0
2015-11-20,1.515500,1.517000,1.505000,1.515530,1.515530,0
2015-11-23,1.503020,1.509820,1.501840,1.503010,1.503010,0
2015-11-24,1.507690,1.509000,1.501000,1.507800,1.507800,0
2015-11-25,1.500080,1.501540,1.487000,1.500100,1.500100,0
2015-11-26,1.491920,1.495340,1.490800,1.491920,1.491920,0
2015-11-27,1.492990,1.498510,1.491000,1.492570,1.492570,0
2015-11-30,1.495490,1.497570,1.488000,1.495140,1.495140,0
2015-12-01,1.490600,1.497520,1.489400,1.490500,1.490500,0
2015-12-02,1.494200,1.498310,1.489800,1.494100,1.494100,0
2015-12-03,1.497900,1.527600,1.485000,1.497900,1.497900,0
2015-12-04,1.523630,1.527470,1.516000,1.523790,1.523790,0
2015-12-07,1.521100,1.524010,1.516000,1.521200,1.521200,0
2015-12-08,1.524190,1.538600,1.521700,1.523860,1.523860,0
2015-12-09,1.533440,1.541350,1.530500,1.533260,1.533260,0
2015-12-10,1.546800,1.546940,1.531000,1.546600,1.546600,0
2015-12-11,1.536020,1.558910,1.533300,1.536060,1.536060,0
2015-12-14,1.551730,1.553600,1.542000,1.551800,1.551800,0
2015-12-15,1.548250,1.555370,1.537720,1.547720,1.547720,0
2015-12-16,1.536690,1.544100,1.536400,1.536800,1.536800,0
2015-12-17,1.533600,1.542600,1.532700,1.533370,1.533370,0
2015-12-18,1.537370,1.539390,1.525000,1.537380,1.537380,0
2015-12-21,1.534760,1.537500,1.530700,1.534820,1.534820,0
2015-12-22,1.535540,1.541530,1.531000,1.535470,1.535470,0
2015-12-23,1.536980,1.539000,1.529800,1.536970,1.536970,0
2015-12-24,1.532020,1.540960,1.531500,1.532020,1.532020,0
2015-12-25,1.539560,1.540900,1.536230,1.539500,1.539500,0
2015-12-28,1.539940,1.547100,1.539540,1.539970,1.539970,0
2015-12-29,1.544130,1.549720,1.541000,1.544100,1.544100,0
2015-12-30,1.542600,1.548460,1.541000,1.542600,1.542600,0
2015-12-31,1.546790,1.546940,1.539200,1.546540,1.546540,0
2016-01-01,1.538000,1.538000,1.538000,1.538000,1.538000,0
2016-01-04,1.539300,1.557360,1.536780,1.539400,1.539400,0
2016-01-05,1.543270,1.544960,1.528000,1.543390,1.543390,0
2016-01-06,1.533000,1.546250,1.529800,1.532800,1.532800,0
2016-01-07,1.547200,1.561690,1.544000,1.547160,1.547160,0
2016-01-08,1.565700,1.571710,1.552400,1.565440,1.565440,0
2016-01-11,1.578700,1.578750,1.555000,1.578830,1.578830,0
2016-01-12,1.557560,1.570380,1.555000,1.557500,1.557500,0
2016-01-13,1.558770,1.560070,1.547000,1.558650,1.558650,0
2016-01-14,1.565320,1.575800,1.557000,1.565300,1.565300,0
2016-01-15,1.559510,1.581800,1.558900,1.559530,1.559530,0
2016-01-18,1.570900,1.573460,1.564000,1.571780,1.571780,0
2016-01-19,1.566700,1.569300,1.556000,1.566900,1.566900,0
2016-01-20,1.567860,1.579590,1.566790,1.567640,1.567640,0
2016-01-21,1.562000,1.571790,1.550120,1.562600,1.562600,0
2016-01-22,1.555980,1.556780,1.538000,1.556050,1.556050,0
2016-01-25,1.542830,1.550050,1.540600,1.542750,1.542750,0
2016-01-26,1.553560,1.556560,1.544000,1.552760,1.552760,0
2016-01-27,1.548600,1.556130,1.545000,1.549340,1.549340,0
2016-01-28,1.561740,1.562220,1.550000,1.562120,1.562120,0
2016-01-29,1.560820,1.562340,1.540500,1.560700,1.560700,0
2016-02-01,1.541590,1.553740,1.541590,1.541790,1.541790,0
2016-02-02,1.550670,1.562360,1.549710,1.550600,1.550600,0
2016-02-03,1.561760,1.580400,1.555000,1.561360,1.561360,0
2016-02-04,1.571250,1.574200,1.558000,1.571000,1.571000,0
2016-02-05,1.564300,1.571010,1.560600,1.564130,1.564130,0
2016-02-08,1.568280,1.572650,1.561000,1.568360,1.568360,0
2016-02-09,1.572850,1.582070,1.565000,1.573850,1.573850,0
2016-02-10,1.577590,1.579210,1.556870,1.577650,1.577650,0
2016-02-11,1.569700,1.580600,1.565800,1.569200,1.569200,0
2016-02-12,1.572320,1.580200,1.568000,1.572400,1.572400,0
2016-02-15,1.567300,1.573700,1.558000,1.567400,1.567400,0
2016-02-16,1.563020,1.569800,1.559600,1.562800,1.562800,0
2016-02-17,1.565800,1.572130,1.564000,1.565800,1.565800,0
2016-02-18,1.561810,1.566270,1.553000,1.561810,1.561810,0
2016-02-19,1.559000,1.567510,1.557700,1.559120,1.559120,0
2016-02-22,1.563900,1.564600,1.543000,1.563900,1.563900,0
2016-02-23,1.542660,1.553620,1.542100,1.542950,1.542950,0
2016-02-24,1.551130,1.553080,1.542000,1.551900,1.551900,0
2016-02-25,1.546900,1.550340,1.542000,1.546830,1.546830,0
2016-02-26,1.544320,1.550110,1.536300,1.544530,1.544530,0
2016-02-29,1.538750,1.542910,1.528000,1.538600,1.538600,0
2016-03-01,1.529240,1.530330,1.519000,1.528990,1.528990,0
2016-03-02,1.523600,1.525440,1.515690,1.523490,1.523490,0
2016-03-03,1.520170,1.520170,1.510800,1.520110,1.520110,0
2016-03-04,1.519600,1.520330,1.507300,1.520670,1.520670,0
2016-03-07,1.513770,1.518460,1.510000,1.513420,1.513420,0
2016-03-08,1.519200,1.531840,1.519100,1.519130,1.519130,0
2016-03-09,1.524200,1.525630,1.513000,1.524200,1.524200,0
2016-03-10,1.518100,1.538200,1.499700,1.518270,1.518270,0
2016-03-11,1.542900,1.545600,1.523940,1.542840,1.542840,0
2016-03-14,1.533900,1.536610,1.526000,1.533330,1.533330,0
2016-03-15,1.527600,1.535000,1.526100,1.527870,1.527870,0
2016-03-16,1.534170,1.534900,1.528000,1.534180,1.534180,0
2016-03-17,1.531300,1.535800,1.526800,1.532500,1.532500,0
2016-03-18,1.529500,1.534510,1.526000,1.528600,1.528600,0
2016-03-21,1.530860,1.536100,1.526000,1.531090,1.531090,0
2016-03-22,1.529670,1.533270,1.523000,1.529400,1.529400,0
2016-03-23,1.526500,1.531000,1.523100,1.526450,1.526450,0
2016-03-24,1.528100,1.531820,1.525000,1.527100,1.527100,0
2016-03-25,1.528390,1.532270,1.528250,1.529100,1.529100,0
2016-03-28,1.531450,1.535850,1.528000,1.531090,1.531090,0
